"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"short term visa applications","Granted","28/02/2026","Mayotte","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Melilla","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Micronesia (Federated States of)","*","*","*","0","0","*","*","0","*","0"
"short term visa applications","Granted","28/02/2026","Moldova (the Republic of)","466","583","602","167","130","515","771","689","620","38"
"short term visa applications","Granted","28/02/2026","Mongolia","177","254","255","30","28","195","283","365","317","39"
"short term visa applications","Granted","28/02/2026","Montenegro","94","88","172","7","7","99","84","105","112","16"
"short term visa applications","Granted","28/02/2026","Montserrat","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Morocco","704","880","946","144","94","534","671","759","768","122"
"short term visa applications","Granted","28/02/2026","Mozambique","50","29","35","*","*","48","52","56","77","9"
"short term visa applications","Granted","28/02/2026","Myanmar","69","93","95","*","*","49","62","83","94","12"
"short term visa applications","Granted","28/02/2026","Namibia","66","98","86","19","6","55","81","100","126","8"
"short term visa applications","Granted","28/02/2026","Nauru","0","0","0","0","0","0","0","0","*","0"
"short term visa applications","Granted","28/02/2026","Nepal","237","240","261","50","34","281","318","467","446","32"
"short term visa applications","Granted","28/02/2026","New Caledonia","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Niger (the)","6","*","8","*","0","*","*","6","*","0"
"short term visa applications","Granted","28/02/2026","Nigeria","2926","3543","3000","572","556","3040","3689","4254","4364","552"
"short term visa applications","Granted","28/02/2026","Niue","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Norfolk Island","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","North Macedonia","361","433","402","79","52","230","266","251","318","18"
